54161 | MH ATEROSCLEROSIS
54162 | MH ATEROSCLEROSIS W/CC
54163 | MH ATEROSCLEROSIS W/MCC
54171 | MH HIPERTENSIÓN
54172 | MH HIPERTENSIÓN W/CC
54173 | MH HIPERTENSIÓN W/MCC
54181 | MH ENFERMEDADES CARDIACAS CONGÉNITAS Y VALVULARES
54182 | MH ENFERMEDADES CARDIACAS CONGÉNITAS Y VALVULARES W/CC
54183 | MH ENFERMEDADES CARDIACAS CONGÉNITAS Y VALVULARES W/MCC
54191 | MH TRASTORNOS DE LA CONDUCCIÓN Y ARRITMIAS CARDIACAS
54192 | MH TRASTORNOS DE LA CONDUCCIÓN Y ARRITMIAS CARDIACAS W/CC
54193 | MH TRASTORNOS DE LA CONDUCCIÓN Y ARRITMIAS CARDIACAS W/MCC
54201 | MH DOLOR TORÁCICO Y ANGINA DE PECHO
54202 | MH DOLOR TORÁCICO Y ANGINA DE PECHO W/CC
54203 | MH DOLOR TORÁCICO Y ANGINA DE PECHO W/MCC
54211 | MH SÍNCOPE Y COLAPSO
54212 | MH SÍNCOPE Y COLAPSO W/CC
54213 | MH SÍNCOPE Y COLAPSO W/MCC
54221 | MH MIOCARDIOPATÍA
54222 | MH MIOCARDIOPATÍA W/CC
54223 | MH MIOCARDIOPATÍA W/MCC
54231 | MH COMPLICACIÓN, DISFUNCIÓN O REACCIÓN DE DISPOSITIVO O TRAS PROCEDIMIENTO CARDIOVASCULAR
54232 | MH COMPLICACIÓN, DISFUNCIÓN O REACCIÓN DE DISPOSITIVO O TRAS PROCEDIMIENTO CARDIOVASCULAR W/CC
54233 | MH COMPLICACIÓN, DISFUNCIÓN O REACCIÓN DE DISPOSITIVO O TRAS PROCEDIMIENTO CARDIOVASCULAR W/MCC
54241 | MH OTROS DIAGNÓSTICOS DE APARATO CIRCULATORIO
